ID,Rating [Rogue One/Star Wars],Rating [Fight Club],Rating [The Lord of the Rings],Rating [Trolls],Rating [Despicable Me],Rating [Kubo],Rating [The hangover],Rating [Captain America],Rating [The big Lebowski],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Sing ],Rating [500 days of Summer],Rating [Twilight],Rating [Lala Land],Rating [A Fantastic Woman],Rating [Loveless],Rating [The Insult],Rating [The Square]
2,4,3,4,N/A,2,N/A,N/A,2,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,N/A,5,4,N/A,3,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,5
8,5,4,5,N/A,4,N/A,3,3,N/A,4,N/A,4,N/A,N/A,2,1,5,5,4,3
10,4,3,3,3,3,3,2,1,4,5,5,4,3,4,1,3,3,2,2,1
11,4,5,N/A,N/A,4,N/A,5,5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A,5,N/A,4,4,N/A,N/A,4,N/A,N/A,5,5,5,5,5,N/A,N/A
13,N/A,4,5,N/A,5,5,4,4,N/A,N/A,N/A,5,4,N/A,N/A,N/A,4,4,4,4
14,4,5,4,4,4,N/A,3,4,N/A,N/A,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
15,4,N/A,5,4,5,N/A,4,3,N/A,N/A,4,N/A,5,5,4,5,N/A,4,4,5
18,3,N/A,5,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,N/A,N/A,N/A
19,3,3,4,4,5,4,N/A,4,N/A,N/A,4,N/A,N/A,4,5,4,4,N/A,N/A,5
23,5,N/A,N/A,N/A,5,N/A,5,5,N/A,N/A,4,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A
28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
