movieName,id
Rating [Rogue One/Star Wars],1
Rating [Fight Club],2
Rating [The Lord of the Rings],3
Rating [Trolls],4
Rating [Despicable Me],5
Rating [Kubo],6
Rating [The hangover],7
Rating [Captain America],8
Rating [The big Lebowski],9
Rating [Almost famous],10
Rating [The hunger games],11
Rating [Pulp Fiction],12
Rating [Sing ],13
Rating [500 days of Summer],14
Rating [Twilight],15
Rating [Lala Land],16
Rating [A Fantastic Woman],17
Rating [Loveless],18
Rating [The Insult],19
Rating [The Square],20
